change_key	change	package
app_entry	->jupyter lab	jupyterlab-4.5.9-py310h06a4308_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py310haa95532_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py310hca03da5_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py310hd43f75c_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py311h06a4308_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py311haa95532_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py311hca03da5_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py311hd43f75c_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py312h06a4308_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py312haa95532_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py312hca03da5_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py312hd43f75c_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py313h06a4308_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py313haa95532_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py313hca03da5_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py313hd43f75c_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py314h06a4308_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py314haa95532_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py314hca03da5_0.tar.bz2
app_entry	->jupyter lab	jupyterlab-4.5.9-py314hd43f75c_0.tar.bz2
app_entry	for /D %%i in ("${CONDA_ROOT_PREFIX}") do wt -w last new-tab -p "Anaconda PowerShell Prompt (%%~ni)"->None	anaconda_powershell_prompt-1.0.0-haa95532_0.tar.bz2
app_entry	for /D %%i in ("${CONDA_ROOT_PREFIX}") do wt -w last new-tab -p "Anaconda PowerShell Prompt (%%~ni)"->None	anaconda_powershell_prompt-1.0.0-haa95532_1.tar.bz2
app_entry	start powershell.exe -ExecutionPolicy ByPass -NoExit -Command  "& '${CONDA_ROOT_PREFIX}\\shell\\condabin\\conda-hook.ps1' ; conda activate '${CONDA_PREFIX}'"->None	anaconda_powershell_prompt-1.1.0-haa95532_0.tar.bz2
app_entry	start powershell.exe -ExecutionPolicy ByPass -NoExit -Command  "& '${CONDA_ROOT_PREFIX}\\shell\\condabin\\conda-hook.ps1' ; conda activate '${CONDA_PREFIX}'"->None	anaconda_powershell_prompt-1.1.0-haa95532_1.tar.bz2
app_entry	start powershell.exe -ExecutionPolicy ByPass -NoExit -Command  "& '${CONDA_ROOT_PREFIX}\\shell\\condabin\\conda-hook.ps1' ; conda activate '${CONDA_PREFIX}'"->None	anaconda_powershell_prompt-1.1.1-haa95532_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py310h06a4308_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py310haa95532_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py310hca03da5_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py310hd43f75c_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py311h06a4308_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py311haa95532_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py311hca03da5_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py311hd43f75c_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py312h06a4308_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py312haa95532_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py312hca03da5_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py312hd43f75c_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py313h06a4308_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py313haa95532_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py313hca03da5_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py313hd43f75c_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py314h06a4308_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py314haa95532_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py314hca03da5_0.tar.bz2
app_type	->desk	jupyterlab-4.5.9-py314hd43f75c_0.tar.bz2
app_type	desk->None	anaconda_powershell_prompt-1.0.0-haa95532_0.tar.bz2
app_type	desk->None	anaconda_powershell_prompt-1.0.0-haa95532_1.tar.bz2
app_type	desk->None	anaconda_powershell_prompt-1.1.0-haa95532_0.tar.bz2
app_type	desk->None	anaconda_powershell_prompt-1.1.0-haa95532_1.tar.bz2
app_type	desk->None	anaconda_powershell_prompt-1.1.1-haa95532_0.tar.bz2
constrains	->__cuda >=10.0	cudatoolkit-10.0.130-0.tar.bz2
constrains	->__cuda >=10.1	cudatoolkit-10.1.168-0.tar.bz2
constrains	->__cuda >=10.1	cudatoolkit-10.1.243-h6bb024c_0.tar.bz2
constrains	->__cuda >=10.1	cudatoolkit-10.1.243-h74a9793_0.tar.bz2
constrains	->__cuda >=10.2	cudatoolkit-10.2.89-h74a9793_0.tar.bz2
constrains	->__cuda >=10.2	cudatoolkit-10.2.89-h74a9793_1.tar.bz2
constrains	->__cuda >=10.2	cudatoolkit-10.2.89-hfd86e86_0.tar.bz2
constrains	->__cuda >=10.2	cudatoolkit-10.2.89-hfd86e86_1.tar.bz2
constrains	->__cuda >=11.3	cudatoolkit-11.3.1-h59b6b97_2.tar.bz2
constrains	->__cuda >=8.0	cudatoolkit-8.0-4.tar.bz2
constrains	->__cuda >=9.0	cudatoolkit-9.0-1.tar.bz2
constrains	->__cuda >=9.0	cudatoolkit-9.0-h13b8566_0.tar.bz2
constrains	->__cuda >=9.2	cudatoolkit-9.2-0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py310h06a4308_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py310haa95532_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py310hca03da5_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py310hd43f75c_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py311h06a4308_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py311haa95532_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py311hca03da5_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py311hd43f75c_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py38h06a4308_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py38haa95532_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py38hca03da5_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py38hd43f75c_0.tar.bz2
constrains	->anaconda-anon-usage <0	anaconda-ident-0.1.7-py39h06a4308_0.tar.bz2
